,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
18157,Warren,Glens Falls City PD,2013,12.0,364.0,21.0,0.0,1.0,3.0,17.0,343.0,50.0,288.0,5.0,Non-New York City
18188,Warren,Warren County Sheriff,2013,12.0,689.0,18.0,1.0,4.0,3.0,10.0,671.0,85.0,579.0,7.0,Non-New York City
18218,Warren,Warren County State Police,2013,12.0,218.0,12.0,0.0,5.0,1.0,6.0,206.0,19.0,186.0,1.0,Non-New York City
18248,Washington,Cambridge Vg PD,2013,12.0,46.0,2.0,0.0,0.0,0.0,2.0,44.0,12.0,31.0,1.0,Non-New York City
18278,Washington,County Total,2013,,882.0,71.0,1.0,5.0,6.0,59.0,811.0,187.0,601.0,23.0,Non-New York City
18308,Washington,Fort Edward Vg PD,2013,12.0,18.0,10.0,1.0,0.0,0.0,9.0,8.0,4.0,4.0,0.0,Non-New York City
18338,Washington,Granville Vg PD,2013,12.0,32.0,6.0,0.0,1.0,0.0,5.0,26.0,7.0,19.0,0.0,Non-New York City
18368,Washington,Greenwich Vg PD,2013,12.0,26.0,2.0,0.0,0.0,0.0,2.0,24.0,1.0,22.0,1.0,Non-New York City
18398,Washington,Hudson Falls Vg PD,2013,12.0,118.0,6.0,0.0,0.0,2.0,4.0,112.0,22.0,90.0,0.0,Non-New York City
18451,Washington,Washington County Sheriff,2013,12.0,407.0,32.0,0.0,3.0,2.0,27.0,375.0,84.0,281.0,10.0,Non-New York City
18481,Washington,Washington County State Police,2013,12.0,167.0,7.0,0.0,1.0,2.0,4.0,160.0,45.0,105.0,10.0,Non-New York City
18507,Washington,Whitehall Vg PD,2013,12.0,68.0,6.0,0.0,0.0,0.0,6.0,62.0,12.0,49.0,1.0,Non-New York City
18534,Wayne,Clyde Vg PD,2013,12.0,64.0,4.0,0.0,0.0,3.0,1.0,60.0,16.0,43.0,1.0,Non-New York City
18564,Wayne,County Total,2013,,1842.0,153.0,4.0,21.0,29.0,99.0,1689.0,469.0,1182.0,38.0,Non-New York City
18594,Wayne,Lyons Vg PD,2013,12.0,206.0,27.0,0.0,5.0,3.0,19.0,179.0,34.0,142.0,3.0,Non-New York City
18620,Wayne,Macedon Town and Vg PD,2013,12.0,67.0,4.0,0.0,0.0,1.0,3.0,63.0,7.0,54.0,2.0,Non-New York City
18650,Wayne,Newark Vg PD,2013,12.0,364.0,27.0,0.0,3.0,7.0,17.0,337.0,71.0,264.0,2.0,Non-New York City
18680,Wayne,Palmyra Vg PD,2013,12.0,47.0,4.0,0.0,0.0,0.0,4.0,43.0,9.0,33.0,1.0,Non-New York City
18699,Wayne,Sodus Point Vg PD,2013,12.0,9.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,8.0,0.0,Non-New York City
18725,Wayne,Sodus Vg PD,2013,12.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,21.0,0.0,Non-New York City
18779,Wayne,Wayne County Sheriff,2013,12.0,506.0,43.0,2.0,2.0,8.0,31.0,463.0,158.0,293.0,12.0,Non-New York City
18809,Wayne,Wayne County State Police,2013,12.0,550.0,43.0,2.0,11.0,7.0,23.0,507.0,169.0,321.0,17.0,Non-New York City
18829,Wayne,Wolcott Vg PD,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,Non-New York City
18859,Westchester,Ardsley Vg PD,2013,12.0,38.0,5.0,0.0,0.0,3.0,2.0,33.0,4.0,28.0,1.0,Non-New York City
18889,Westchester,Bedford Town PD,2013,12.0,161.0,5.0,0.0,0.0,1.0,4.0,156.0,26.0,126.0,4.0,Non-New York City
18919,Westchester,Briarcliff Manor Vg PD,2013,12.0,12.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,10.0,0.0,Non-New York City
18949,Westchester,Bronxville Vg PD,2013,12.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,39.0,3.0,Non-New York City
18978,Westchester,Buchanan Vg PD,2013,12.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,Non-New York City
19017,Westchester,County Total,2013,,14135.0,2192.0,11.0,59.0,843.0,1279.0,11943.0,1678.0,9646.0,619.0,Non-New York City
19063,Westchester,Croton-On-Hudson Vg PD,2013,12.0,54.0,1.0,0.0,0.0,1.0,0.0,53.0,8.0,43.0,2.0,Non-New York City
19093,Westchester,Dobbs Ferry Vg PD,2013,12.0,105.0,1.0,0.0,0.0,0.0,1.0,104.0,13.0,89.0,2.0,Non-New York City
19123,Westchester,Eastchester Town PD,2013,12.0,170.0,2.0,0.0,0.0,0.0,2.0,168.0,13.0,154.0,1.0,Non-New York City
19153,Westchester,Elmsford Vg PD,2013,12.0,37.0,2.0,0.0,1.0,0.0,1.0,35.0,3.0,27.0,5.0,Non-New York City
19183,Westchester,Greenburgh Town PD,2013,12.0,627.0,48.0,1.0,5.0,16.0,26.0,579.0,55.0,501.0,23.0,Non-New York City
19211,Westchester,Harrison Town PD,2013,12.0,231.0,6.0,0.0,0.0,1.0,5.0,225.0,27.0,194.0,4.0,Non-New York City
19241,Westchester,Hastings-on-Hudson Vg PD,2013,12.0,82.0,1.0,0.0,0.0,1.0,0.0,81.0,4.0,75.0,2.0,Non-New York City
19276,Westchester,Irvington Vg PD,2013,12.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,19.0,0.0,Non-New York City
19306,Westchester,Larchmont Vg PD,2013,12.0,89.0,2.0,0.0,0.0,0.0,2.0,87.0,8.0,77.0,2.0,Non-New York City
19327,Westchester,Lewisboro Town PD,2013,12.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,Non-New York City
19355,Westchester,Mamaroneck Town PD,2013,12.0,159.0,1.0,0.0,0.0,1.0,0.0,158.0,16.0,141.0,1.0,Non-New York City
19385,Westchester,Mamaroneck Vg PD,2013,12.0,189.0,8.0,0.0,1.0,2.0,5.0,181.0,23.0,150.0,8.0,Non-New York City
19415,Westchester,Mount Kisco Vg PD,2013,12.0,125.0,17.0,0.0,1.0,6.0,10.0,108.0,10.0,98.0,0.0,Non-New York City
19441,Westchester,Mount Pleasant Town PD,2013,12.0,238.0,12.0,0.0,0.0,6.0,6.0,226.0,25.0,198.0,3.0,Non-New York City
19471,Westchester,Mount Vernon City PD,2013,12.0,1993.0,556.0,2.0,7.0,228.0,319.0,1437.0,318.0,972.0,147.0,Non-New York City
19501,Westchester,New Castle Town PD,2013,12.0,79.0,2.0,0.0,0.0,0.0,2.0,77.0,13.0,62.0,2.0,Non-New York City
19531,Westchester,New Rochelle City PD,2013,12.0,1569.0,176.0,0.0,6.0,81.0,89.0,1393.0,151.0,1172.0,70.0,Non-New York City
19561,Westchester,North Castle Town PD,2013,12.0,71.0,3.0,0.0,0.0,0.0,3.0,68.0,12.0,53.0,3.0,Non-New York City
19572,Westchester,NYC DEPP - Eastview PCT,2013,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
19621,Westchester,Ossining Vg PD,2013,12.0,279.0,36.0,0.0,0.0,21.0,15.0,243.0,46.0,192.0,5.0,Non-New York City
19651,Westchester,Peekskill City PD,2013,12.0,278.0,30.0,0.0,0.0,8.0,22.0,248.0,25.0,215.0,8.0,Non-New York City
19681,Westchester,Pelham Manor Vg PD,2013,12.0,149.0,2.0,0.0,0.0,1.0,1.0,147.0,14.0,130.0,3.0,Non-New York City
19711,Westchester,Pelham Vg PD,2013,12.0,179.0,7.0,0.0,1.0,2.0,4.0,172.0,22.0,149.0,1.0,Non-New York City
19738,Westchester,Pleasantville Vg PD,2013,12.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,21.0,0.0,Non-New York City
19768,Westchester,Port Chester Vg PD,2013,12.0,620.0,48.0,0.0,2.0,19.0,27.0,572.0,67.0,483.0,22.0,Non-New York City
19787,Westchester,Pound Ridge Town PD,2013,12.0,36.0,3.0,0.0,0.0,0.0,3.0,33.0,15.0,18.0,0.0,Non-New York City
19817,Westchester,Rye Brook Vg PD,2013,12.0,90.0,2.0,0.0,0.0,2.0,0.0,88.0,9.0,77.0,2.0,Non-New York City
19846,Westchester,Rye City PD,2013,12.0,94.0,5.0,0.0,0.0,2.0,3.0,89.0,9.0,77.0,3.0,Non-New York City
19876,Westchester,Scarsdale Vg PD,2013,12.0,185.0,1.0,0.0,0.0,0.0,1.0,184.0,24.0,153.0,7.0,Non-New York City
19906,Westchester,Sleepy Hollow Vg PD,2013,12.0,66.0,8.0,1.0,0.0,1.0,6.0,58.0,9.0,47.0,2.0,Non-New York City
19935,Westchester,SUNY Police - Purchase,2013,12.0,70.0,2.0,0.0,0.0,0.0,2.0,68.0,7.0,61.0,0.0,Non-New York City
19965,Westchester,Tarrytown Vg PD,2013,12.0,116.0,6.0,0.0,0.0,3.0,3.0,110.0,12.0,94.0,4.0,Non-New York City
19995,Westchester,Tuckahoe Vg PD,2013,12.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,7.0,27.0,1.0,Non-New York City
20025,Westchester,Westchester Co Dept Pub Safety,2013,12.0,185.0,7.0,0.0,1.0,1.0,5.0,178.0,3.0,173.0,2.0,Non-New York City
20062,Westchester,Westchester County MTA,2013,12.0,99.0,10.0,0.0,0.0,8.0,2.0,89.0,0.0,84.0,5.0,Non-New York City
20092,Westchester,Westchester County Park PD,2013,12.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,16.0,1.0,Non-New York City
20122,Westchester,Westchester County State Police,2013,12.0,413.0,46.0,0.0,5.0,8.0,33.0,367.0,77.0,279.0,11.0,Non-New York City
20152,Westchester,White Plains City PD,2013,12.0,1311.0,78.0,1.0,3.0,28.0,46.0,1233.0,77.0,1135.0,21.0,Non-New York City
20182,Westchester,Yonkers City PD,2013,12.0,3404.0,1036.0,6.0,25.0,390.0,615.0,2368.0,470.0,1662.0,236.0,Non-New York City
20212,Westchester,Yorktown Town PD,2013,12.0,350.0,15.0,0.0,0.0,2.0,13.0,335.0,45.0,288.0,2.0,Non-New York City
20242,Wyoming,Arcade Vg PD,2013,12.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,3.0,35.0,1.0,Non-New York City
20272,Wyoming,Attica Vg PD,2013,12.0,7.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,1.0,Non-New York City
20302,Wyoming,County Total,2013,,510.0,41.0,0.0,3.0,2.0,36.0,469.0,82.0,379.0,8.0,Non-New York City
20332,Wyoming,Perry Vg PD,2013,12.0,102.0,3.0,0.0,0.0,0.0,3.0,99.0,14.0,84.0,1.0,Non-New York City
20362,Wyoming,Warsaw Vg PD,2013,12.0,84.0,6.0,0.0,1.0,0.0,5.0,78.0,5.0,73.0,0.0,Non-New York City
20397,Wyoming,Wyoming County Park PD,2013,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
20426,Wyoming,Wyoming County Sheriff,2013,12.0,209.0,15.0,0.0,0.0,2.0,13.0,194.0,47.0,144.0,3.0,Non-New York City
20456,Wyoming,Wyoming County State Police,2013,12.0,66.0,15.0,0.0,2.0,0.0,13.0,51.0,13.0,36.0,2.0,Non-New York City
20486,Yates,County Total,2013,,413.0,14.0,0.0,6.0,1.0,7.0,399.0,112.0,284.0,3.0,Non-New York City
20516,Yates,Penn Yan Vg PD,2013,12.0,115.0,4.0,0.0,1.0,1.0,2.0,111.0,21.0,89.0,1.0,Non-New York City
20559,Yates,Yates County Sheriff,2013,12.0,278.0,9.0,0.0,4.0,0.0,5.0,269.0,86.0,181.0,2.0,Non-New York City
20589,Yates,Yates County State Police,2013,12.0,20.0,1.0,0.0,1.0,0.0,0.0,19.0,5.0,14.0,0.0,Non-New York City
