,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
5013,Erie,SUNY Police - Buffalo,2013,12.0,381.0,11.0,0.0,1.0,5.0,5.0,370.0,47.0,319.0,4.0,Non-New York City
5025,Erie,SUNY Police - Buffalo State College,2013,12.0,153.0,4.0,0.0,2.0,2.0,0.0,149.0,15.0,134.0,0.0,Non-New York City
5055,Erie,Tonawanda City PD,2013,12.0,349.0,34.0,0.0,0.0,4.0,30.0,315.0,24.0,289.0,2.0,Non-New York City
5085,Erie,Tonawanda Town PD,2013,12.0,1216.0,117.0,1.0,5.0,25.0,86.0,1099.0,190.0,882.0,27.0,Non-New York City
5115,Erie,West Seneca Town PD,2013,12.0,931.0,35.0,1.0,1.0,9.0,24.0,896.0,166.0,710.0,20.0,Non-New York City
5145,Essex,County Total,2013,,449.0,43.0,0.0,8.0,2.0,33.0,406.0,121.0,266.0,19.0,Non-New York City
5171,Essex,Essex County Sheriff,2013,12.0,12.0,5.0,0.0,0.0,0.0,5.0,7.0,2.0,5.0,0.0,Non-New York City
5201,Essex,Essex County State Police,2013,12.0,264.0,18.0,0.0,4.0,2.0,12.0,246.0,82.0,148.0,16.0,Non-New York City
5231,Essex,Lake Placid Vg PD,2013,12.0,53.0,2.0,0.0,0.0,0.0,2.0,51.0,11.0,38.0,2.0,Non-New York City
5255,Essex,Moriah Town PD,2013,12.0,16.0,7.0,0.0,0.0,0.0,7.0,9.0,3.0,5.0,1.0,Non-New York City
5284,Essex,Ticonderoga Town PD,2013,12.0,104.0,11.0,0.0,4.0,0.0,7.0,93.0,23.0,70.0,0.0,Non-New York City
5314,Franklin,County Total,2013,,876.0,61.0,1.0,10.0,3.0,47.0,815.0,179.0,608.0,28.0,Non-New York City
5326,Franklin,Franklin County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
5334,Franklin,Franklin County Sheriff,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
5358,Franklin,Franklin County State Police,2013,12.0,413.0,28.0,0.0,9.0,0.0,19.0,385.0,99.0,269.0,17.0,Non-New York City
5388,Franklin,Malone Vg PD,2013,12.0,196.0,4.0,0.0,0.0,2.0,2.0,192.0,28.0,161.0,3.0,Non-New York City
5418,Franklin,Saranac Lake Vg PD,2013,12.0,179.0,26.0,1.0,1.0,1.0,23.0,153.0,30.0,117.0,6.0,Non-New York City
5448,Franklin,Tupper Lake Vg PD,2013,12.0,86.0,3.0,0.0,0.0,0.0,3.0,83.0,22.0,59.0,2.0,Non-New York City
5478,Fulton,County Total,2013,,1527.0,62.0,1.0,13.0,11.0,37.0,1465.0,262.0,1164.0,39.0,Non-New York City
5513,Fulton,Fulton County Sheriff,2013,12.0,352.0,11.0,1.0,2.0,0.0,8.0,341.0,90.0,245.0,6.0,Non-New York City
5543,Fulton,Fulton County State Police,2013,12.0,125.0,4.0,0.0,1.0,1.0,2.0,121.0,32.0,85.0,4.0,Non-New York City
5573,Fulton,Gloversville City PD,2013,12.0,719.0,33.0,0.0,9.0,6.0,18.0,686.0,111.0,560.0,15.0,Non-New York City
5603,Fulton,Johnstown City PD,2013,12.0,330.0,14.0,0.0,1.0,4.0,9.0,316.0,29.0,273.0,14.0,Non-New York City
5630,Fulton,Northville Vg PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
5658,Genesee,Batavia City PD,2013,12.0,618.0,57.0,0.0,7.0,13.0,37.0,561.0,104.0,454.0,3.0,Non-New York City
5694,Genesee,County Total,2013,,1467.0,109.0,0.0,22.0,22.0,65.0,1358.0,294.0,1044.0,20.0,Non-New York City
5737,Genesee,Genesee County Park PD,2013,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
5764,Genesee,Genesee County Sheriff,2013,12.0,631.0,33.0,0.0,9.0,8.0,16.0,598.0,155.0,427.0,16.0,Non-New York City
5794,Genesee,Genesee County State Police,2013,12.0,119.0,6.0,0.0,3.0,0.0,3.0,113.0,17.0,95.0,1.0,Non-New York City
5824,Genesee,LeRoy Vg PD,2013,12.0,98.0,13.0,0.0,3.0,1.0,9.0,85.0,18.0,67.0,0.0,Non-New York City
5870,Greene,Cairo Town PD,2013,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,15.0,0.0,Non-New York City
5900,Greene,Catskill Vg PD,2013,12.0,133.0,14.0,0.0,1.0,3.0,10.0,119.0,16.0,101.0,2.0,Non-New York City
5930,Greene,County Total,2013,,718.0,58.0,1.0,8.0,6.0,43.0,660.0,213.0,421.0,26.0,Non-New York City
5960,Greene,Coxsackie Vg PD,2013,12.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,0.0,Non-New York City
5978,Greene,Durham Town PD,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,Non-New York City
6020,Greene,Greene County Sheriff,2013,9.0,96.0,8.0,0.0,0.0,1.0,7.0,88.0,43.0,44.0,1.0,Non-New York City
6050,Greene,Greene County State Police,2013,12.0,444.0,36.0,1.0,7.0,2.0,26.0,408.0,146.0,239.0,23.0,Non-New York City
6107,Greene,Windham Town PD,2013,12.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,0.0,Non-New York City
6137,Hamilton,County Total,2013,,62.0,4.0,0.0,0.0,0.0,4.0,58.0,21.0,37.0,0.0,Non-New York City
6167,Hamilton,Hamilton County Sheriff,2013,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,Non-New York City
